wallet_address,3LH7pDMG6maRkpHfQdN6hV36D6geFckDp7vTNDYTpump,5E8ifewWjdGPDCRdmvbua3YvV1QzjiZs63qJYwuFpump,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,A4GoNqSZTvX4sSnRE1wFjEkemWm8jmbHhLgyCBAkpump,BPuNpj7eqg8R2z8jGxJqWZqxqoVritGsFpHTsNLHpump,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
29PgAnfcSucVF5tm1fZ4ndMPbxq98TatUdMDzZznUB8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29yg6zBj1FEnnJpccDNLKXyivjUqgAjzp5Ge8vU6ZBxK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29yzEBCkRNkEF6yjdTMBNF14tVub2j1NjUqhZsyyxnG6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2A4bn7inxSquorNpv1yiU2XdJWrLUh4uJbPiJEU7cWgS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2ACq3i1Vmm3WCuMENDj9cQXU2sng4QCsZFSKsKKTmYQQ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2AK1eKRcUhKZ9eUa5oqdfUcWQcLHYH4rGJg4wY2MMCWD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2Ani3fwjKekqVBq2qtUJkCz4qvhfinWFjTm9xa9WyBcs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2AwWeRzF6A6SZpA3rKw7UzfnB9hhutELawpwUWkFkvQW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2BG96DmsNMRqceJxDEAjEXPBgaHUBUuYRGDs4B2zNCwA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2BYbFiQpkMvYnjV4PMsFiMmXPgSQUmdXKDYZ9d5mmHTC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2BxKG5aAnn3p7UPr4G4diBVrgap3sbQFtidZvEzGV8Hc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2CJ2K4aPgs6ix9SpuQ7di6MEiVKKPTScowiibyJkyU8p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2CJRYgeLaubvWVukvDx7KkT59tXByrQEvzKK3CsAi5DZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2CQgjcdNEo7WtbQLpJTAVcC3Ga61pNvRDTgP5grzctFG,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2CYxuiooryDgPVromS9j48xMUqUESPWzmLGTJCrCsC7v,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2CbXL5VEorZgqizSgNuUTz3SmRvHX1Ng2g3SaftxDQQm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2CgpJZ76uqZUpdkE9jH6evKWuspydjqsXSmUdss4P21u,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2CqocamViuucf7kZw67HHQ6yg7vEGLEp7PkFtz6eyXkE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2CyKXVZdHNhSo1KTNBBDyEyKv7De1KxsdEmkxG5MRG1b,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2D2WfimFfbwwepmndSsySYwuvSp7rmV1JDu2bABFr4fF,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2DTvT8Qt7mQ5Y2XeLZ2ovfoHTmSD7kv6ZnRz1zNSxiR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2Dj24a1vvoBNHV3SKv9UDMrwKAFAdLZNrc67qAxWdqk2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2DrHPrhWpSREPimzz39t4nu4fnju4s8y7CKpaxncr5Ke,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2E8xfJjuFRF7dUyqcVGW4bz1xShh3pVWxBVdXccSVkdn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2EJQ27BhkcJpgsCN924XPqSuL4qmP8j2nP9hua9Nqgkr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2Eb9UYjS5Rcks2rRjKZJE34vxVhHAWsoj65wnHRZ9YNT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2Ec1cmi8SzmTwPRECstEccv9ZV6oFQ33eg9rBxisj2X9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2EdDooqxqC99DUznXhcA1efQ49XoJ1B6VrEw3yJmpro8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2EdQwTzdcvwgEfYywh2H937Dbk7EjeGBNDAfng26dXY3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2F5x36wTxSfZ12MrWuxMtsa5KRJtyMUWezk6ejEjh5i7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2F6a9Ac4rchVf7t34Liw68u6YPBfWKhR3R7d7ybEkVkR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2FFVcm9xJmUHG6zfo15ktzuGQTXACPG42iquGHe6faTN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2FVV6e1SECwofXq8LVpzz2iQiTx4SZghPynh8LrvFET2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2FY8xrmTfZHXfbsWr42M6dLevwqfc27oUe7NneiQz86K,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2FeSE51N7fgfA8VWBrqB8wiMgtxb9vZXvRBU4uFAK76M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2FnUByFCWhGNbvtTXNWYUagPoW9XFRNXFJuZXb6ejsLM,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2FvDEVxgFWc6cyHDEBvtHDJe7Nu8b56NHwrCaZt6QdX4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2GFDWMxiWi84einPaVM9j9vLe6WHuFEXxm9NPioWemVs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2GQmp1zooDzdj1S9owdgSGgRmi5WvzBZUz1c3UyDCq1v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2HckX7vsYzYx431EhBzYcxw9ADkuqWG6tK8kcKfw9sUs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2HoJH5eP6GhQYyzDfkwYGMVoT6BiWddTBTR6oJJ7oc8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2HzADqByqqAZ2sSjDUzPF3ytWNduFLhsf16mxexBaoSy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2JGUZyqbbdz6cPPWrPAWS6eR2SRWjdmqy1cfZE2Raj5T,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2JSaxzhKQSiZEmbthcXsfvaw9LgLug5ntMC56mnHz7df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2JbDGofDrnBztgEZxeCmDoUX8pyNTS11WWLhziJN7yZ9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2JidyAnFrajQzpPyXCYZi88wFV6c5cxyNvUQMRX8yXNr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2Ju9LC27EQjcqe2UdypxZcgUW13PMyUQadJ4f7qdvA2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2JuMKfy8adihxWhkYvjcJvrRUp9U8fcdYeRZVSLFQHar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2K1c2jRFp7ptEzRG6BWxDJBzEUqKwDFPqj2vjKrk8tRy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2K6dkYdHssrZcwJcwRDTPmecgx2zw1b8McJ67ttYCwXp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2K7Q8hrnaTvhriSy8gqB7bYukpmcvNWSeDxQkqBEzYsa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2KXTgVqBuhaeLpg9NExTT16caqPg2e2n7jmtfm8z6cvA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2KiU5j1XBqrwpceZCb81PxSVNSoNtT9P3zKGJCsLqerU,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2KxvvwfA8yhKHT9UA1ks6K4E6SzHxRDmSFH1jp66XXoq,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2LKdjgEn3BrWCvddL6Y47dGXLQNot5ueR58MgE1vp8m9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2LLHCtDpZWWsoeyAcjnnBgwsqzfvWx8EKfE8YTmGyafk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2LcKMF8wPRAPexXQdXiCmFyK2xct6F8m8H8o6FhKKgz4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2LiNuwFejJwb3vLkPtKViDJSGcdJ26oPBxA84kpp4QMt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2LxFHnNochBQirNRz27x5S3xC1m1BvuLonVYJB6is8kG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
